date,Date.1,Min_F,Avg_F,Max_F,Avg1.5m_DP,Avg1.5m_RH,Avg1.5m_LWu,AvgDir,Avg_Speedmph,2m_MaxGustmph,2_in_F,Min_F.1,Avg_F.1,TotPrecin,TotalSolarRad,EToin,ETrin
2012/07/29,29,54.5,72,87.1,50.4,50.2,0.24,SE,3,12.4,,80.2,82.9,0,28.66,0.22,0.27
2012/07/30,30,56.6,71.3,87,47.5,46.9,0.23,SW,4.2,17.1,,80.7,83.4,0,28.62,0.25,0.32
2012/07/31,31,51.9,69.5,85.1,43,42.7,0.16,S,3.4,10.7,,80,82.7,0,27.74,0.22,0.29
2012/08/01,1,52.6,72.3,88.6,43.3,38.1,0.04,S,4.4,19.6,,79.7,82.5,0,28.02,0.25,0.33
2012/08/02,2,55.2,71.3,85.9,46.1,42.9,0.05,SW,4.7,21.8,,80.2,83,0,28.24,0.25,0.33
2012/08/03,3,52.6,70,84.8,44.9,43.4,0.06,S,2.9,11,,80,82.8,0,27.86,0.21,0.26
2012/08/04,4,55.8,75.4,90.7,46.1,38.5,0.03,SW,2.9,16.4,,80.5,83.3,0,27.8,0.23,0.29
2012/08/05,5,57.8,79.1,95.9,52.5,42.6,0.04,S,3.1,11,,81.6,84.5,0,27.31,0.24,0.31
2012/08/06,6,69.7,80.2,95.2,56.6,46.7,0.08,S,3.8,18.9,,83.5,85.8,0,21.68,0.23,0.3
2012/08/07,7,61.6,81,96.4,54.6,44.1,0.11,S,2.8,11.7,,83,85.7,0,25.75,0.23,0.29
2012/08/08,8,57.7,76.2,92.2,50.1,44.1,0.17,S,3.9,20,,84.2,86.5,0,27.51,0.25,0.32
2012/08/09,9,51.5,68.1,86.5,44.6,46.6,0.18,S,2.7,7.4,,81.9,83.8,0,19.39,0.17,0.22
2012/08/10,10,56.7,72.9,90,44.5,39.9,0.07,S,4,17.8,,80.2,82.9,0,27.1,0.24,0.32
2012/08/11,11,53.3,73,91.4,43.5,36.6,0.01,S,3,11.7,,80.2,83.2,0,26.89,0.22,0.29
2012/08/12,12,55.9,77.1,95.8,48.4,40.1,0.04,S,2.6,8.2,,81,83.9,0,25.88,0.22,0.28
2012/08/13,13,60,79.6,96,46.7,35.7,0.08,S,4,19.6,,82,84.7,0,25.8,0.26,0.35
2012/08/14,14,63.3,80.3,95.5,48.4,34.3,0,S,3.8,15,,82.6,85.3,0,25.61,0.25,0.33
2012/08/15,15,61.8,75.2,88.8,48.8,41.7,0.03,S,3.9,13.2,,82.9,85.3,0,25.84,0.23,0.3
2012/08/16,16,61.3,74.8,89.8,47.6,40.4,0.01,S,3.5,9.2,,82.2,84.8,0,25.95,0.23,0.3
2012/08/17,17,57.5,75.8,93.3,51.6,45.4,0.08,S,3,9.9,,82.1,84.8,0,24.82,0.21,0.27
2012/08/18,18,58.8,77.1,95,49.7,41,0.05,SW,3.3,11.7,,82.4,84.7,0,19.38,0.21,0.28
2012/08/19,19,61.2,76.4,94,51.4,44.5,0.05,S,3.1,13.9,,82.1,84.2,0,20,0.2,0.27
2012/08/20,20,56.4,71.9,88.8,48.7,46.2,0.1,S,2.9,7.8,,81.1,83.4,0,21.45,0.19,0.24
2012/08/21,21,59.2,70.3,87.5,47.5,47,0.09,SW,5,21.4,,80.6,82.9,0,21.02,0.22,0.3
2012/08/22,22,49.9,65.4,79.6,44.2,48.9,0.14,S,3.7,13.2,,79,81.5,0,25.02,0.19,0.25
2012/08/23,23,48.3,62.1,77,41.1,49.5,0.27,SW,5.7,22.8,,78.1,80.4,0,25.19,0.2,0.27
2012/08/24,24,46,61.2,74.8,38,44.7,0.04,SW,3.7,12.8,,76.2,78.8,0,25.06,0.18,0.23
2012/08/25,25,44.7,63.9,79.3,40.3,45.1,0.11,S,3.2,9.6,,75.7,78.4,0,24.55,0.17,0.23
2012/08/26,26,51.1,70.2,85.4,39.6,36.1,0.03,S,3.6,12.1,,76.3,78.9,0,22.59,0.2,0.27
2012/08/27,27,53,67.3,79.7,45.3,47.9,0.14,S,4.4,18.9,,77.1,79.2,0,23.83,0.19,0.25
2012/08/28,28,53.4,66.2,79.3,44.6,48.7,0.18,SW,6.2,22.8,,76.6,78.6,0,23.02,0.21,0.28
2012/08/29,29,48.5,62,75,41.8,49.8,0.15,SW,3.5,13.9,,75.4,77.8,0,23.53,0.17,0.21
2012/08/30,30,46.7,62.3,77.5,43.4,52.2,0.18,S,3.3,9.9,,74.7,77.2,0,23.75,0.16,0.21
2012/08/31,31,52.3,65.9,81.9,40.8,42.5,0.04,S,4.1,18.5,,75.2,77.6,0,22.88,0.19,0.26
2012/09/01,1,46.2,62.2,77,37.2,43.2,0.09,S,3,11,,74.2,76.8,0,23.43,0.16,0.21
2012/09/02,2,44.8,63.1,79.9,38.3,44.8,0.15,SW,3.2,12.4,,73.7,76.3,0,22.68,0.17,0.22
2012/09/03,3,48.5,65,81.9,42.7,46.9,0.12,S,3.1,17.1,,73.7,76.3,0,22.61,0.17,0.22
